Status,Date,Original Description,Split Type,Category,Currency,Amount,User Description,Memo,Classification,Account Name,Simple Description
posted,07/06/2026, CHECKCARD  0705 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0705 Google *Google Mountain Viewca
posted,07/06/2026, CHECKCARD  0705 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0705 Google *Google Mountain Viewca
posted,07/06/2026, CHECKCARD  0706 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0706 Google *Google Mountain Viewca
posted,07/06/2026, CHECKCARD  0706 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0706 Google *Google Mountain Viewca
posted,07/06/2026, CHECKCARD  0704 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0704 Google *Google Mountain Viewca
posted,07/06/2026, PURCHASE   0704 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx7262,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,07/03/2026, CHECKCARD  0703 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0703 Google *Google Mountain Viewca
posted,07/03/2026, ADOBE INC.               xxx-xxx-6000 CA,,Online Services,USD,-74.71, , ,Personal,Bank of America - Credit Card - BankAmericard Rewards Visa Platinum Plus, Adobe
posted,07/02/2026, CHECKCARD  0701 GOOGLE*CLOUD D78NH4                         WWW.GOOGLE.COCA xxxxxxxxxxxxxxxxxxx6331,,Online Services,USD,-7.70, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0701 Google*Cloud D78NH4 Www.Google.Coca 
posted,07/02/2026, CHECKCARD  0701 GOOGLE*CLOUD ZL83JW                         SUPPORT.GOOGLCA xxxxxxxxxxxxxxxxxxx0012,,Online Services,USD,-997.53, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0701 Google*Cloud Zl83Jw Support.Googlca 
posted,07/01/2026, CHECKCARD  0701 GOOGLE *Worksp                              Mountain ViewCA,,Online Services,USD,-16.80, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0701 Google *Worksp Mountain Viewca
posted,07/01/2026, CHECKCARD  0701 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0701 Google *Google Mountain Viewca
posted,07/01/2026, CHECKCARD  0701 GOOGLE *Worksp                              Mountain ViewCA,,Online Services,USD,-11.12, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0701 Google *Worksp Mountain Viewca
posted,07/01/2026, CHECKCARD  0701 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0701 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0628 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0628 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0628 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0628 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0629 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0629 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0629 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0629 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0628 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0628 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0628 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0628 Google *Google Mountain Viewca
posted,06/29/2026, CHECKCARD  0628 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0628 Google *Google Mountain Viewca
posted,06/29/2026, PURCHASE   0627 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx4208,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,06/29/2026, CHECKCARD  0627 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0627 Google *Google Mountain Viewca
posted,06/26/2026, CHECKCARD  0626 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0626 Google *Google Mountain Viewca
posted,06/26/2026, Rocket Money     DES:Premium    ID:ST-M8A8S8Y1Z3L7           INDN:ROCKET MONEY INC        CO ID:1800,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - Spending Money, Rocket Money
posted,06/26/2026, CHECKCARD  0626 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0626 Google *Google Mountain Viewca
posted,06/26/2026, PURCHASE   0625 OPENAI *CHATGPT SUBSCR                      OPENAI.COM   CA xxxxxxxxxxxxxxxxxxx5206,,Online Services,USD,-20.00, , ,Personal,Bank of America - Bank - Spending Money, ChatGPT
posted,06/26/2026, CHECKCARD  0625 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-19.99, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Checkcard 0625 Google *Google Mountain Viewca
posted,06/25/2026, ADOBE  *ADOBE            xxx-xxx-6000 CA,,Online Services,USD,-74.71, , ,Personal,Bank of America - Credit Card - BankAmericard Rewards Visa Platinum Plus, Adobe
posted,06/23/2026, PURCHASE   0622 TRUST & WILL                                TRUSTANDWILL.CA xxxxxxxxxxxxxxxxxxx3689,,Online Services,USD,-19.00, , ,Personal,Bank of America - Bank - Spending Money, Trust & Will
posted,06/22/2026, PURCHASE   0620 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx8658,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,06/22/2026, CHECKCARD  0620 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-199.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0620 Google *Google Mountain Viewca
posted,06/22/2026, CHECKCARD  0622 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0622 Google *Google Mountain Viewca
posted,06/22/2026, CHECKCARD  0620 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0620 Google *Google Mountain Viewca
posted,06/22/2026, CHECKCARD  0621 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0621 Google *Google Mountain Viewca
posted,06/18/2026, CHECKCARD  0618 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0618 Google *Google Mountain Viewca
posted,06/18/2026, PURCHASE   0617 ELEVENLABS.IO                               ELEVENLABS.IONY xxxxxxxxxxxxxxxxxxx0862,,Online Services,USD,-22.00, , ,Personal,Bank of America - Bank - Spending Money, Elevenlabs
posted,06/18/2026, Rocket Money     DES:Premium    ID:ST-H6H8H9R2S4Q8           INDN:ROCKET MONEY INC        CO ID:1800,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Rocket Money
posted,06/16/2026, CHECKCARD  0616 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0616 Google *Google Mountain Viewca
posted,06/16/2026, Spangler Law PC          Greensboro   NC,,Online Services,USD,"-1,752.00", , ,Personal,Bank of America - Credit Card - BankAmericard Rewards Visa Platinum Plus, Spangler Law Pc Greensboro NC
posted,06/15/2026, CHECKCARD  0614 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0614 Google *Google Mountain Viewca
posted,06/15/2026, CHECKCARD  0614 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0614 Google *Google Mountain Viewca
posted,06/15/2026, CHECKCARD  0613 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0613 Google *Google Mountain Viewca
posted,06/15/2026, PURCHASE   0613 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx6300,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,06/11/2026, CHECKCARD  0611 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0611 Google *Google Mountain Viewca
posted,06/10/2026, CHECKCARD  0610 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0610 Google *Google Mountain Viewca
posted,06/10/2026, CHECKCARD  0610 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0610 Google *Google Mountain Viewca
posted,06/09/2026, CHECKCARD  0609 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0609 Google *Google Mountain Viewca
posted,06/08/2026, CHECKCARD  0607 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0607 Google *Google Mountain Viewca
posted,06/08/2026, CHECKCARD  0606 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0606 Google *Google Mountain Viewca
posted,06/08/2026, CHECKCARD  0607 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0607 Google *Google Mountain Viewca
posted,06/08/2026, CHECKCARD  0607 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0607 Google *Google Mountain Viewca
posted,06/08/2026, CHECKCARD  0606 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-49.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0606 Google *Google Mountain Viewca
posted,06/08/2026, PURCHASE   0606 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx7473,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,06/08/2026," CHECKCARD  0607 CITIBANK, N.A.                              xxx-xxx8488  SD",,Online Services,USD,-94.61, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Citibank
posted,06/05/2026, CHECKCARD  0605 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0605 Google *Google Mountain Viewca
posted,06/05/2026, CHECKCARD  0605 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-49.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0605 Google *Google Mountain Viewca
posted,06/03/2026, PURCHASE   0603 GOOGLE *CLOUD QBJSNx                        g.co/helppay#CA xxxxxxxxxxxxxxxxxxx7918,,Online Services,USD,-200.00, , ,Personal,Bank of America - Bank - Spending Money, 0603 Google *Cloud Qbjsnx G.CO/Helppay#CA XX7918
posted,06/03/2026, CHECKCARD  0603 GOOGLE *CLOUD CSN55K                        g.co/HelpPay#CA xxxxxxxxxxxxxxxxxxx1119,,Online Services,USD,"-1,000.00", , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0603 Google *Cloud Csn55K G.CO/Helppay#CA XX1119
posted,06/03/2026, CHECKCARD  0603 GOOGLE *CLOUD 2TVTLP                        g.co/HelpPay#CA xxxxxxxxxxxxxxxxxxx1044,,Online Services,USD,-500.00, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0603 Google *Cloud 2Tvtlp G.CO/Helppay#CA XX1044
posted,06/03/2026," CHECKCARD  0603 CITIBANK, N.A.                              xxx-xxx8488  SD",,Online Services,USD,-22.55, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Citibank
posted,06/03/2026, Adobe Inc                xxx-xxx6687  CA,,Online Services,USD,-74.71, , ,Personal,Bank of America - Credit Card - BankAmericard Rewards Visa Platinum Plus, Adobe
posted,06/02/2026, CHECKCARD  0601 GOOGLE*CLOUD DCBGZX                         SUPPORT.GOOGLCA xxxxxxxxxxxxxxxxxxx0204,,Online Services,USD,-0.40, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0601 Google*Cloud Dcbgzx Support.Googlca 
posted,06/02/2026, CHECKCARD  0601 GOOGLE*CLOUD 5DPHVS                         WWW.GOOGLE.COCA xxxxxxxxxxxxxxxxxxx6685,,Online Services,USD,-25.13, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0601 Google*Cloud 5Dphvs Www.Google.Coca 
posted,06/02/2026, CHECKCARD  0602 Spangler Law PC                             Greensboro   NC xxxxxxxxxxxxxxxxxxx2219,,Online Services,USD,-300.00, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0602 Spangler Law Pc Greensboro NC XX2219
posted,06/02/2026, CHECKCARD  0601 GOOGLE *CLOUD ZxH5RP                        g.co/HelpPay#CA xxxxxxxxxxxxxxxxxxx6904,,Online Services,USD,-154.09, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0601 Google *Cloud Zxh5Rp G.CO/Helppay#CA XX6904
posted,06/01/2026, CHECKCARD  0601 GOOGLE*CLOUD VDXXV9                         SUPPORT.GOOGLCA xxxxxxxxxxxxxxxxxxx9108,,Online Services,USD,-100.00, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0601 Google*Cloud VdXXv9 Support.Googlca 
posted,06/01/2026, CHECKCARD  0601 GOOGLE *Worksp                              Mountain ViewCA,,Online Services,USD,-7.93, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0601 Google *Worksp Mountain Viewca
posted,06/01/2026, CHECKCARD  0601 GOOGLE *Worksp                              Mountain ViewCA,,Online Services,USD,-0.36, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0601 Google *Worksp Mountain Viewca
posted,06/01/2026, MOBILE PURCHASE 0530  THE MARTHA WASHINGTON                 ABINGDON     VA xxxxxxxxxxxxxxxxxxx3840,,Online Services,USD,-22.00, , ,Personal,Bank of America - Bank - Spending Money, The Martha Washington
posted,06/01/2026, PURCHASE   0530 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx3123,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,05/27/2026, Rocket Money     DES:Premium    ID:ST-B4Z1H4L9N2R3           INDN:ROCKET MONEY INC        CO ID:1800,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - Spending Money, Rocket Money
posted,05/26/2026, CHECKCARD  0524 BONFIRE.COM                                 HENRICO      VA,,Online Services,USD,-115.53, , ,Personal,Bank of America - Bank - Spending Money, Bonfire
posted,05/26/2026, PURCHASE   0525 OPENAI *CHATGPT SUBSCR                      OPENAI.COM   CA xxxxxxxxxxxxxxxxxxx1058,,Online Services,USD,-20.00, , ,Personal,Bank of America - Bank - Spending Money, ChatGPT
posted,05/26/2026, PURCHASE   0523 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx6698,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - Spending Money, 0523 Netlify Netlify.Com CA XX6698
posted,05/26/2026, PURCHASE   0523 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx9228,,Online Services,USD,-16.99, , ,Personal,Bank of America - Bank - Spending Money, 0523 Netlify Netlify.Com CA XX9228
posted,05/26/2026, PURCHASE   0523 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx5422,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,05/26/2026, CHECKCARD  0525 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-19.99, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Checkcard 0525 Google *Google Mountain Viewca
posted,05/25/2026, Adobe Inc                xxx-xxx6687  CA,,Online Services,USD,-74.71, , ,Personal,Bank of America - Credit Card - BankAmericard Rewards Visa Platinum Plus, Adobe
posted,05/22/2026, CHECKCARD  0522 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-199.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0522 Google *Google Mountain Viewca
posted,05/18/2026, CHECKCARD  0517 GOOGLE *Workspace_djma                      cc@google.comCA xxxxxxxxxxxxxxxxxxx8834,,Online Services,USD,-3.00, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0517 Google *Workspace_Djma Cc@Google.Comca 
posted,05/18/2026, CHECKCARD  0516 OPENAI                                      OPENAI.COM   CA xxxxxxxxxxxxxxxxxxx9525,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - Spending Money, Openai
posted,05/18/2026, PURCHASE   0516 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx8194,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,05/18/2026, CHECKCARD  0516 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0516 Google *Google Mountain Viewca
posted,05/18/2026, PURCHASE   0517 ELEVENLABS.IO                               ELEVENLABS.IONY xxxxxxxxxxxxxxxxxxx2879,,Online Services,USD,-22.00, , ,Personal,Bank of America - Bank - Spending Money, Elevenlabs
posted,05/18/2026, PURCHASE   0517 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx5818,,Online Services,USD,-6.99, , ,Personal,Bank of America - Bank - Spending Money, 0517 Netlify Netlify.Com CA XX5818
posted,05/18/2026, PURCHASE   0517 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx3824,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - Spending Money, 0517 Netlify Netlify.Com CA XX3824
posted,05/18/2026, Rocket Money     DES:Premium    ID:ST-A6I8S2M2W2F8           INDN:ROCKET MONEY INC        CO ID:1800,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - ADV PLUS BANKING, Rocket Money
posted,05/11/2026, CHECKCARD  0510 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0510 Google *Google Mountain Viewca
posted,05/11/2026, PURCHASE   0508 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx2249,,Online Services,USD,-13.99, , ,Personal,Bank of America - Bank - Spending Money, 0508 Netlify Netlify.Com CA XX2249
posted,05/11/2026, PURCHASE   0509 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx9947,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,05/05/2026, PURCHASE   0505 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx1602,,Online Services,USD,-20.00, , ,Personal,Bank of America - Bank - Spending Money, 0505 Netlify Netlify.Com CA XX1602
posted,05/04/2026, CHECKCARD  0502 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0502 Google *Google Mountain Viewca
posted,05/04/2026, CHECKCARD  0503 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-49.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0503 Google *Google Mountain Viewca
posted,05/04/2026, CHECKCARD  0503 GOOGLE *Google                              Mountain ViewCA,,Online Services,USD,-24.99, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0503 Google *Google Mountain Viewca
posted,05/04/2026, PURCHASE   0503 NETLIFY                                     NETLIFY.COM  CA xxxxxxxxxxxxxxxxxxx8636,,Online Services,USD,-10.00, , ,Personal,Bank of America - Bank - Spending Money, 0503 Netlify Netlify.Com CA XX8636
posted,05/04/2026, PURCHASE   0502 GENCRAFT                                    WWW.GENCRAFT.WA xxxxxxxxxxxxxxxxxxx9924,,Printing,USD,-9.99, , ,Personal,Bank of America - Bank - Spending Money, Signcraft
posted,05/04/2026, CHECKCARD  0501 GOOGLE*CLOUD S9JQZ5                         WWW.GOOGLE.COCA xxxxxxxxxxxxxxxxxxx1987,,Online Services,USD,-14.40, , ,Personal,Bank of America - Bank - Spending Money, Checkcard 0501 Google*Cloud S9Jqz5 Www.Google.Coca 
posted,05/04/2026, PURCHASE   0501 Google CLOUD WxPzJN                         xxx-xxx0000  CA xxxxxxxxxxxxxxxxxxx8065,,Online Services,USD,-24.13, , ,Personal,Bank of America - Bank - Spending Money, 0501 Google Cloud Wxpzjn XX0000 CA XX8065
